Tempo_ms;ADC_Bruto;Forca_kg
243108;2473;0,00
243109;2466;0,00
243110;2478;0,00
243111;2462;0,00
243112;2478;0,00
243113;2466;0,00
243114;2469;0,00
243115;2466;0,00
243116;2469;0,00
243117;2461;0,00
243118;2465;0,00
243119;2467;0,00
243120;2467;0,00
243121;2470;0,00
243122;2475;0,00
243123;2479;0,00
243124;2464;0,00
243125;2477;0,00
243126;2467;0,00
243127;2471;0,00
243128;2469;0,00
243129;2462;0,00
243130;2470;0,00
243131;2463;0,00
243132;2477;0,00
243133;2466;0,00
243134;2469;0,00
243135;2466;0,00
243136;2457;0,00
243137;2470;0,00
243138;2470;0,00
243139;2493;0,25
243140;2466;0,00
243141;2480;0,00
243142;2459;0,00
243143;2471;0,00
243144;2470;0,00
243145;2479;0,00
243146;2478;0,00
243147;2467;0,00
243148;2459;0,00
243149;2451;0,00
243150;2469;0,00
243151;2461;0,00
243152;2470;0,00
243153;2469;0,00
243154;2464;0,00
243155;2465;0,00
243156;2480;0,00
243157;2463;0,00
243158;2473;0,00
243159;2475;0,00
243160;2480;0,00
243161;2467;0,00
243162;2463;0,00
243163;2470;0,00
243164;2476;0,00
243165;2469;0,00
243166;2480;0,00
243167;2464;0,00
243168;2469;0,00
243169;2468;0,00
243170;2462;0,00
243171;2477;0,00
243172;2480;0,00
243173;2462;0,00
243174;2493;0,25
243175;2477;0,00
243176;2480;0,00
243177;2482;0,00
243178;2461;0,00
243179;2465;0,00
243180;2480;0,00
243181;2474;0,00
243182;2466;0,00
243183;2491;0,20
243184;2458;0,00
243185;2459;0,00
243186;2471;0,00
243187;2466;0,00
243188;2469;0,00
243189;2469;0,00
243190;2481;0,00
243191;2464;0,00
243192;2455;0,00
243193;2466;0,00
243194;2474;0,00
243195;2465;0,00
243196;2463;0,00
243197;2466;0,00
243198;2466;0,00
243199;2467;0,00
243200;2461;0,00
243201;2460;0,00
243202;2469;0,00
243203;2475;0,00
243204;2463;0,00
243205;2465;0,00
243206;2469;0,00
243207;2466;0,00
243208;2468;0,00
243209;2487;0,10
243210;2465;0,00
243211;2464;0,00
243212;2462;0,00
243213;2458;0,00
243214;2466;0,00
243215;2478;0,00
243216;2459;0,00
243217;2471;0,00
243218;2480;0,00
243219;2481;0,00
243220;2471;0,00
243221;2481;0,00
243222;2470;0,00
243223;2466;0,00
243224;2463;0,00
243225;2460;0,00
243226;2476;0,00
243227;2485;0,05
243228;2463;0,00
243229;2467;0,00
243230;2499;0,40
243231;2463;0,00
243232;2469;0,00
243233;2468;0,00
243234;2465;0,00
243235;2468;0,00
243236;2466;0,00
243237;2464;0,00
243238;2464;0,00
243239;2464;0,00
243240;2471;0,00
243241;2480;0,00
243242;2481;0,00
243243;2473;0,00
243244;2477;0,00
243245;2470;0,00
243246;2467;0,00
243247;2477;0,00
243248;2467;0,00
243249;2465;0,00
243250;2471;0,00
243251;2468;0,00
243252;2462;0,00
243253;2465;0,00
243254;2466;0,00
243255;2458;0,00
243256;2463;0,00
243257;2466;0,00
243258;2464;0,00
243259;2471;0,00
243260;2471;0,00
243261;2466;0,00
243262;2464;0,00
243263;2471;0,00
243264;2469;0,00
243265;2475;0,00
243266;2463;0,00
243267;2462;0,00
243268;2464;0,00
243269;2469;0,00
243270;2475;0,00
243271;2464;0,00
243272;2462;0,00
243273;2464;0,00
243274;2464;0,00
243275;2480;0,00
243276;2468;0,00
243277;2462;0,00
243278;2470;0,00
243279;2474;0,00
243280;2455;0,00
243281;2467;0,00
243282;2461;0,00
243283;2462;0,00
243284;2462;0,00
243285;2478;0,00
243286;2459;0,00
243287;2469;0,00
243288;2475;0,00
243289;2475;0,00
243290;2466;0,00
243291;2468;0,00
243292;2466;0,00
243293;2454;0,00
243294;2466;0,00
243295;2462;0,00
243296;2469;0,00
243297;2471;0,00
243298;2463;0,00
243299;2464;0,00
243300;2465;0,00
243301;2463;0,00
243302;2471;0,00
243303;2463;0,00
243304;2477;0,00
243305;2463;0,00
243306;2467;0,00
243307;2485;0,05
243308;2469;0,00
243309;2463;0,00
243310;2466;0,00
243311;2461;0,00
243312;2463;0,00
243313;2461;0,00
243314;2467;0,00
243315;2471;0,00
243316;2464;0,00
243317;2469;0,00
243318;2463;0,00
243319;2474;0,00
243320;2465;0,00
243321;2466;0,00
243322;2469;0,00
243323;2463;0,00
243324;2471;0,00
243325;2459;0,00
243326;2468;0,00
243327;2470;0,00
243328;2480;0,00
243329;2467;0,00
243330;2474;0,00
243331;2466;0,00
243332;2465;0,00
243333;2474;0,00
243334;2483;0,00
243335;2469;0,00
243336;2463;0,00
243337;2468;0,00
243338;2471;0,00
243339;2466;0,00
243340;2466;0,00
243341;2471;0,00
243342;2469;0,00
243343;2464;0,00
243344;2467;0,00
243345;2474;0,00
243346;2471;0,00
243347;2465;0,00
243348;2468;0,00
243349;2467;0,00
243350;2471;0,00
243351;2463;0,00
243352;2463;0,00
243353;2480;0,00
243354;2462;0,00
243355;2467;0,00
243356;2466;0,00
243357;2461;0,00
243358;2469;0,00
243359;2465;0,00
243360;2468;0,00
243361;2465;0,00
243362;2474;0,00
243363;2468;0,00
243364;2465;0,00
243365;2464;0,00
243366;2466;0,00
243367;2464;0,00
243368;2469;0,00
243369;2475;0,00
243370;2467;0,00
243371;2469;0,00
243372;2471;0,00
243373;2469;0,00
243374;2459;0,00
243375;2478;0,00
243376;2461;0,00
243377;2471;0,00
243378;2475;0,00
243379;2463;0,00
243380;2461;0,00
243381;2462;0,00
243382;2469;0,00
243383;2465;0,00
243384;2470;0,00
243385;2461;0,00
243386;2460;0,00
243387;2465;0,00
243388;2466;0,00
243389;2475;0,00
243390;2467;0,00
243391;2464;0,00
243392;2474;0,00
243393;2465;0,00
243394;2465;0,00
243395;2463;0,00
243396;2460;0,00
243397;2469;0,00
243398;2459;0,00
243399;2459;0,00
243400;2471;0,00
243401;2468;0,00
243402;2466;0,00
243403;2477;0,00
243404;2464;0,00
243405;2467;0,00
243406;2461;0,00
243407;2458;0,00
243408;2463;0,00
243409;2471;0,00
243410;2477;0,00
243411;2455;0,00
243412;2462;0,00
243413;2461;0,00
243414;2458;0,00
243415;2465;0,00
243416;2469;0,00
243417;2469;0,00
243418;2463;0,00
243419;2464;0,00
243420;2459;0,00
243421;2475;0,00
243422;2459;0,00
243423;2477;0,00
243424;2466;0,00
243425;2459;0,00
243426;2475;0,00
243427;2466;0,00
243428;2456;0,00
243429;2460;0,00
243430;2465;0,00
243431;2455;0,00
243432;2459;0,00
243433;2464;0,00
243434;2465;0,00
243435;2462;0,00
243436;2461;0,00
243437;2463;0,00
243438;2455;0,00
243439;2459;0,00
243440;2463;0,00
243441;2465;0,00
243442;2464;0,00
243443;2461;0,00
243444;2464;0,00
243445;2468;0,00
243446;2467;0,00
243447;2463;0,00
243448;2463;0,00
243449;2466;0,00
243450;2465;0,00
243451;2461;0,00
243452;2464;0,00
243453;2464;0,00
243454;2465;0,00
243455;2455;0,00
243456;2464;0,00
243457;2459;0,00
243458;2461;0,00
243459;2457;0,00
243460;2465;0,00
