Tempo_ms;ADC_Bruto;Forca_kg
404165;2559;1,92
404166;2559;1,92
404167;2583;2,53
404168;2580;2,45
404169;2559;1,92
404170;2559;1,92
404171;2559;1,92
404172;2559;1,92
404173;2586;2,60
404174;2559;1,92
404175;2581;2,47
404176;2559;1,92
404177;2559;1,92
404178;2589;2,68
404179;2559;1,92
404180;2559;1,92
404181;2559;1,92
404182;2559;1,92
404183;2559;1,92
404184;2559;1,92
404185;2601;2,98
404186;2559;1,92
404187;2559;1,92
404188;2559;1,92
404189;2559;1,92
404190;2559;1,92
404191;2582;2,50
404192;2583;2,53
404193;2586;2,60
404194;2559;1,92
404195;2543;1,51
404196;2559;1,92
404197;2554;1,79
404198;2608;3,16
404199;2602;3,01
404200;2559;1,92
404201;2583;2,53
404202;2589;2,68
404203;2559;1,92
404204;2559;1,92
404205;2559;1,92
404206;2559;1,92
404207;2589;2,68
404208;2559;1,92
404209;2559;1,92
404210;2559;1,92
404211;2559;1,92
404212;2559;1,92
404213;2582;2,50
404214;2559;1,92
404215;2559;1,92
404216;2559;1,92
404217;2559;1,92
404218;2559;1,92
404219;2559;1,92
404220;2559;1,92
404221;2559;1,92
404222;2559;1,92
404223;2559;1,92
404224;2559;1,92
404225;2559;1,92
404226;2559;1,92
404227;2559;1,92
404228;2559;1,92
404229;2559;1,92
404230;2587;2,63
404231;2559;1,92
404232;2559;1,92
404233;2559;1,92
404234;2559;1,92
404235;2582;2,50
404236;2559;1,92
404237;2559;1,92
404238;2559;1,92
404239;2559;1,92
404240;2559;1,92
404241;2587;2,63
404242;2559;1,92
404243;2559;1,92
404244;2559;1,92
404245;2586;2,60
404246;2559;1,92
404247;2587;2,63
404248;2559;1,92
404249;2559;1,92
404250;2591;2,73
404251;2559;1,92
404252;2559;1,92
404253;2583;2,53
404254;2559;1,92
404255;2559;1,92
404256;2585;2,58
404257;2559;1,92
404258;2559;1,92
404259;2559;1,92
404260;2587;2,63
404261;2559;1,92
404262;2559;1,92
404263;2559;1,92
404264;2559;1,92
404265;2559;1,92
404266;2559;1,92
404267;2559;1,92
404268;2559;1,92
404269;2559;1,92
404270;2559;1,92
404271;2559;1,92
404272;2559;1,92
404273;2559;1,92
404274;2559;1,92
404275;2559;1,92
404276;2559;1,92
404277;2559;1,92
404278;2559;1,92
404279;2559;1,92
404280;2559;1,92
404281;2559;1,92
404282;2559;1,92
404283;2559;1,92
404284;2559;1,92
404285;2559;1,92
404286;2559;1,92
404287;2559;1,92
404288;2559;1,92
404289;2559;1,92
404290;2559;1,92
404291;2559;1,92
404292;2559;1,92
404293;2559;1,92
404294;2559;1,92
404295;2559;1,92
404296;2559;1,92
404297;2559;1,92
404298;2559;1,92
404299;2559;1,92
404300;2559;1,92
404301;2559;1,92
404302;2559;1,92
404303;2559;1,92
404304;2559;1,92
404305;2559;1,92
404306;2559;1,92
404307;2559;1,92
404308;2559;1,92
404309;2559;1,92
404310;2559;1,92
404311;2559;1,92
404312;2559;1,92
404313;2559;1,92
404314;2559;1,92
404315;2559;1,92
404316;2559;1,92
404317;2559;1,92
404318;2559;1,92
404319;2559;1,92
404320;2559;1,92
404321;2559;1,92
404322;2559;1,92
404323;2559;1,92
404324;2559;1,92
404325;2559;1,92
404326;2545;1,56
404327;2559;1,92
404328;2559;1,92
404329;2559;1,92
404330;2559;1,92
404331;2559;1,92
404332;2559;1,92
404333;2559;1,92
404334;2559;1,92
404335;2559;1,92
404336;2559;1,92
404337;2559;1,92
404338;2559;1,92
404339;2559;1,92
404340;2559;1,92
404341;2555;1,82
404342;2559;1,92
404343;2559;1,92
404344;2557;1,87
404345;2559;1,92
404346;2559;1,92
404347;2559;1,92
404348;2559;1,92
404349;2559;1,92
404350;2559;1,92
404351;2554;1,79
404352;2557;1,87
404353;2559;1,92
404354;2559;1,92
404355;2559;1,92
404356;2559;1,92
404357;2559;1,92
404358;2549;1,66
404359;2554;1,79
404360;2559;1,92
404361;2559;1,92
404362;2559;1,92
404363;2558;1,89
404364;2559;1,92
404365;2559;1,92
404366;2559;1,92
404367;2557;1,87
404368;2559;1,92
404369;2559;1,92
404370;2559;1,92
404371;2559;1,92
404372;2559;1,92
404373;2559;1,92
404374;2559;1,92
404375;2559;1,92
404376;2559;1,92
404377;2559;1,92
404378;2559;1,92
404379;2559;1,92
404380;2559;1,92
404381;2559;1,92
404382;2559;1,92
404383;2554;1,79
404384;2559;1,92
404385;2559;1,92
404386;2559;1,92
404387;2559;1,92
404388;2559;1,92
404389;2559;1,92
404390;2559;1,92
404391;2554;1,79
404392;2559;1,92
404393;2553;1,77
404394;2559;1,92
404395;2559;1,92
404396;2559;1,92
404397;2559;1,92
404398;2558;1,89
404399;2559;1,92
404400;2549;1,66
404401;2554;1,79
404402;2551;1,72
404403;2559;1,92
404404;2559;1,92
404405;2558;1,89
404406;2559;1,92
404407;2559;1,92
404408;2553;1,77
404409;2559;1,92
404410;2559;1,92
404411;2559;1,92
404412;2553;1,77
404413;2559;1,92
404414;2551;1,72
404415;2559;1,92
404416;2557;1,87
404417;2557;1,87
404418;2559;1,92
404419;2555;1,82
404420;2551;1,72
404421;2559;1,92
404422;2559;1,92
404423;2557;1,87
404424;2555;1,82
404425;2559;1,92
404426;2554;1,79
404427;2555;1,82
404428;2590;2,70
404429;2556;1,84
404430;2550;1,69
404431;2551;1,72
404432;2555;1,82
404433;2556;1,84
404434;2555;1,82
404435;2553;1,77
404436;2554;1,79
404437;2549;1,66
404438;2553;1,77
404439;2558;1,89
404440;2559;1,92
404441;2551;1,72
404442;2557;1,87
404443;2554;1,79
404444;2559;1,92
404445;2559;1,92
404446;2559;1,92
404447;2559;1,92
404448;2555;1,82
404449;2548;1,64
404450;2551;1,72
404451;2557;1,87
404452;2559;1,92
404453;2559;1,92
404454;2555;1,82
404455;2555;1,82
404456;2552;1,74
404457;2553;1,77
404458;2551;1,72
404459;2559;1,92
404460;2549;1,66
404461;2557;1,87
404462;2558;1,89
404463;2546;1,59
404464;2555;1,82
404465;2549;1,66
404466;2555;1,82
404467;2557;1,87
404468;2557;1,87
404469;2559;1,92
404470;2559;1,92
404471;2553;1,77
404472;2554;1,79
404473;2550;1,69
404474;2554;1,79
404475;2555;1,82
404476;2553;1,77
404477;2549;1,66
404478;2556;1,84
404479;2553;1,77
404480;2553;1,77
404481;2551;1,72
404482;2555;1,82
404483;2559;1,92
404484;2546;1,59
404485;2554;1,79
404486;2551;1,72
404487;2551;1,72
404488;2545;1,56
404489;2554;1,79
404490;2553;1,77
404491;2556;1,84
404492;2551;1,72
404493;2557;1,87
404494;2554;1,79
404495;2550;1,69
404496;2555;1,82
404497;2557;1,87
404498;2555;1,82
404499;2544;1,54
404500;2550;1,69
404501;2557;1,87
404502;2553;1,77
404503;2556;1,84
404504;2553;1,77
404505;2554;1,79
404506;2550;1,69
404507;2547;1,61
404508;2550;1,69
404509;2545;1,56
404510;2544;1,54
404511;2551;1,72
404512;2554;1,79
404513;2550;1,69
404514;2548;1,64
404515;2549;1,66
404516;2555;1,82
404517;2553;1,77
404518;2545;1,56
404519;2549;1,66
404520;2550;1,69
404521;2545;1,56
404522;2553;1,77
404523;2545;1,56
404524;2549;1,66
404525;2551;1,72
404526;2548;1,64
404527;2549;1,66
404528;2547;1,61
404529;2549;1,66
404530;2549;1,66
404531;2551;1,72
404532;2554;1,79
404533;2544;1,54
404534;2546;1,59
404535;2555;1,82
404536;2556;1,84
404537;2547;1,61
404538;2559;1,92
404539;2550;1,69
404540;2546;1,59
404541;2548;1,64
404542;2544;1,54
404543;2547;1,61
404544;2545;1,56
404545;2549;1,66
404546;2554;1,79
404547;2542;1,49
404548;2546;1,59
404549;2547;1,61
404550;2554;1,79
