Tempo_ms;ADC_Bruto;Forca_kg
70158;2592;2,75
70159;2629;3,69
70160;2604;3,06
70161;2605;3,08
70162;2581;2,47
70163;2598;2,90
70164;2559;1,92
70165;2608;3,16
70166;2613;3,28
70167;2593;2,78
70168;2605;3,08
70169;2594;2,80
70170;2601;2,98
70171;2591;2,73
70172;2583;2,53
70173;2598;2,90
70174;2585;2,58
70175;2613;3,28
70176;2603;3,03
70177;2595;2,83
70178;2593;2,78
70179;2582;2,50
70180;2586;2,60
70181;2559;1,92
70182;2619;3,44
70183;2559;1,92
70184;2559;1,92
70185;2582;2,50
70186;2595;2,83
70187;2589;2,68
70188;2614;3,31
70189;2589;2,68
70190;2592;2,75
70191;2597;2,88
70192;2587;2,63
70193;2599;2,93
70194;2559;1,92
70195;2598;2,90
70196;2596;2,85
70197;2559;1,92
70198;2592;2,75
70199;2585;2,58
70200;2641;3,99
70201;2586;2,60
70202;2593;2,78
70203;2599;2,93
70204;2586;2,60
70205;2559;1,92
70206;2590;2,70
70207;2559;1,92
70208;2559;1,92
70209;2617;3,39
70210;2598;2,90
70211;2611;3,23
70212;2590;2,70
70213;2591;2,73
70214;2587;2,63
70215;2587;2,63
70216;2559;1,92
70217;2559;1,92
70218;2625;3,59
70219;2589;2,68
70220;2609;3,18
70221;2559;1,92
70222;2605;3,08
70223;2559;1,92
70224;2559;1,92
70225;2597;2,88
70226;2582;2,50
70227;2597;2,88
70228;2607;3,13
70229;2618;3,41
70230;2559;1,92
70231;2551;1,72
70232;2559;1,92
70233;2622;3,51
70234;2589;2,68
70235;2559;1,92
70236;2589;2,68
70237;2590;2,70
70238;2608;3,16
70239;2559;1,92
70240;2559;1,92
70241;2559;1,92
70242;2605;3,08
70243;2602;3,01
70244;2608;3,16
70245;2602;3,01
70246;2599;2,93
70247;2611;3,23
70248;2559;1,92
70249;2608;3,16
70250;2610;3,21
70251;2594;2,80
70252;2559;1,92
70253;2611;3,23
70254;2623;3,54
70255;2610;3,21
70256;2559;1,92
70257;2587;2,63
70258;2559;1,92
70259;2583;2,53
70260;2559;1,92
70261;2559;1,92
70262;2559;1,92
70263;2559;1,92
70264;2559;1,92
70265;2559;1,92
70266;2559;1,92
70267;2583;2,53
70268;2559;1,92
70269;2559;1,92
70270;2559;1,92
70271;2582;2,50
70272;2613;3,28
70273;2559;1,92
70274;2559;1,92
70275;2603;3,03
70276;2559;1,92
70277;2559;1,92
70278;2559;1,92
70279;2559;1,92
70280;2591;2,73
70281;2559;1,92
70282;2599;2,93
70283;2559;1,92
70284;2617;3,39
70285;2586;2,60
70286;2592;2,75
70287;2593;2,78
70288;2587;2,63
70289;2559;1,92
70290;2585;2,58
70291;2559;1,92
70292;2607;3,13
70293;2586;2,60
70294;2591;2,73
70295;2593;2,78
70296;2593;2,78
70297;2559;1,92
70298;2612;3,26
70299;2597;2,88
70300;2559;1,92
70301;2559;1,92
70302;2559;1,92
70303;2559;1,92
70304;2559;1,92
70305;2582;2,50
70306;2559;1,92
70307;2559;1,92
70308;2583;2,53
70309;2559;1,92
70310;2603;3,03
70311;2559;1,92
70312;2588;2,65
70313;2559;1,92
70314;2605;3,08
70315;2558;1,89
70316;2559;1,92
70317;2582;2,50
70318;2618;3,41
70319;2559;1,92
70320;2559;1,92
70321;2559;1,92
70322;2614;3,31
70323;2558;1,89
70324;2559;1,92
70325;2559;1,92
70326;2559;1,92
70327;2559;1,92
70328;2586;2,60
70329;2559;1,92
70330;2559;1,92
70331;2559;1,92
70332;2592;2,75
70333;2559;1,92
70334;2639;3,94
70335;2559;1,92
70336;2611;3,23
70337;2593;2,78
70338;2559;1,92
70339;2559;1,92
70340;2559;1,92
70341;2559;1,92
70342;2590;2,70
70343;2559;1,92
70344;2559;1,92
70345;2559;1,92
70346;2559;1,92
70347;2591;2,73
70348;2583;2,53
70349;2559;1,92
70350;2559;1,92
70351;2587;2,63
70352;2559;1,92
70353;2559;1,92
70354;2559;1,92
70355;2619;3,44
70356;2559;1,92
70357;2611;3,23
70358;2597;2,88
70359;2559;1,92
70360;2559;1,92
70361;2582;2,50
70362;2559;1,92
70363;2601;2,98
70364;2559;1,92
70365;2559;1,92
70366;2559;1,92
70367;2609;3,18
70368;2559;1,92
70369;2559;1,92
70370;2612;3,26
70371;2559;1,92
70372;2559;1,92
70373;2559;1,92
70374;2559;1,92
70375;2559;1,92
70376;2559;1,92
70377;2581;2,47
70378;2559;1,92
70379;2559;1,92
70380;2559;1,92
70381;2559;1,92
70382;2587;2,63
70383;2589;2,68
70384;2612;3,26
70385;2601;2,98
70386;2559;1,92
70387;2588;2,65
70388;2559;1,92
70389;2559;1,92
70390;2592;2,75
70391;2559;1,92
70392;2559;1,92
70393;2614;3,31
70394;2559;1,92
70395;2559;1,92
70396;2559;1,92
70397;2608;3,16
70398;2559;1,92
70399;2608;3,16
70400;2559;1,92
70401;2605;3,08
70402;2559;1,92
70403;2559;1,92
70404;2559;1,92
70405;2559;1,92
70406;2559;1,92
70407;2584;2,55
70408;2559;1,92
70409;2559;1,92
70410;2608;3,16
70411;2586;2,60
70412;2559;1,92
70413;2595;2,83
70414;2559;1,92
70415;2591;2,73
70416;2559;1,92
70417;2559;1,92
70418;2559;1,92
70419;2586;2,60
70420;2559;1,92
70421;2591;2,73
70422;2559;1,92
70423;2559;1,92
70424;2559;1,92
70425;2559;1,92
70426;2587;2,63
70427;2559;1,92
70428;2559;1,92
70429;2559;1,92
70430;2608;3,16
70431;2559;1,92
70432;2559;1,92
70433;2559;1,92
70434;2557;1,87
70435;2559;1,92
70436;2559;1,92
70437;2559;1,92
70438;2558;1,89
70439;2559;1,92
70440;2599;2,93
70441;2585;2,58
70442;2558;1,89
70443;2591;2,73
70444;2559;1,92
70445;2558;1,89
70446;2559;1,92
70447;2559;1,92
70448;2613;3,28
70449;2559;1,92
70450;2559;1,92
70451;2559;1,92
70452;2559;1,92
70453;2559;1,92
70454;2554;1,79
70455;2559;1,92
70456;2559;1,92
70457;2559;1,92
70458;2559;1,92
70459;2585;2,58
70460;2558;1,89
70461;2559;1,92
70462;2559;1,92
70463;2559;1,92
70464;2559;1,92
70465;2559;1,92
70466;2559;1,92
70467;2559;1,92
70468;2559;1,92
70469;2559;1,92
70470;2615;3,34
70471;2558;1,89
70472;2608;3,16
70473;2554;1,79
70474;2581;2,47
70475;2559;1,92
70476;2559;1,92
70477;2556;1,84
70478;2559;1,92
70479;2559;1,92
70480;2555;1,82
70481;2559;1,92
70482;2559;1,92
70483;2555;1,82
70484;2559;1,92
70485;2559;1,92
70486;2557;1,87
70487;2589;2,68
70488;2550;1,69
70489;2559;1,92
70490;2551;1,72
70491;2559;1,92
70492;2555;1,82
70493;2551;1,72
70494;2546;1,59
70495;2557;1,87
70496;2586;2,60
70497;2548;1,64
70498;2588;2,65
70499;2549;1,66
70500;2549;1,66
70501;2559;1,92
70502;2559;1,92
70503;2553;1,77
70504;2559;1,92
70505;2553;1,77
70506;2546;1,59
70507;2555;1,82
70508;2559;1,92
70509;2559;1,92
70510;2559;1,92
70511;2559;1,92
70512;2551;1,72
70513;2549;1,66
70514;2559;1,92
70515;2559;1,92
70516;2559;1,92
70517;2589;2,68
70518;2551;1,72
70519;2559;1,92
70520;2559;1,92
70521;2544;1,54
70522;2556;1,84
70523;2554;1,79
70524;2545;1,56
70525;2559;1,92
70526;2548;1,64
70527;2547;1,61
70528;2559;1,92
70529;2545;1,56
70530;2544;1,54
70531;2595;2,83
70532;2544;1,54
70533;2555;1,82
70534;2546;1,59
70535;2603;3,03
70536;2544;1,54
70537;2557;1,87
70538;2550;1,69
70539;2544;1,54
70540;2591;2,73
70541;2559;1,92
70542;2559;1,92
70543;2547;1,61
70544;2554;1,79
70545;2559;1,92
70546;2550;1,69
70547;2554;1,79
70548;2591;2,73
70549;2544;1,54
70550;2559;1,92
70551;2544;1,54
70552;2555;1,82
70553;2557;1,87
70554;2553;1,77
70555;2559;1,92
70556;2544;1,54
70557;2555;1,82
70558;2559;1,92
70559;2559;1,92
70560;2559;1,92
70561;2544;1,54
70562;2551;1,72
70563;2592;2,75
70564;2547;1,61
70565;2548;1,64
70566;2551;1,72
70567;2539;1,41
70568;2549;1,66
70569;2540;1,44
70570;2548;1,64
70571;2608;3,16
70572;2557;1,87
70573;2581;2,47
70574;2539;1,41
70575;2549;1,66
70576;2592;2,75
70577;2559;1,92
70578;2543;1,51
70579;2583;2,53
70580;2555;1,82
70581;2553;1,77
70582;2542;1,49
70583;2544;1,54
70584;2559;1,92
70585;2551;1,72
70586;2551;1,72
70587;2585;2,58
70588;2538;1,39
70589;2539;1,41
70590;2542;1,49
70591;2587;2,63
70592;2538;1,39
70593;2544;1,54
70594;2551;1,72
70595;2558;1,89
70596;2542;1,49
70597;2541;1,46
70598;2559;1,92
70599;2549;1,66
70600;2538;1,39
70601;2559;1,92
70602;2559;1,92
70603;2538;1,39
70604;2540;1,44
70605;2541;1,46
70606;2535;1,31
70607;2539;1,41
70608;2544;1,54
70609;2535;1,31
70610;2589;2,68
70611;2531;1,21
70612;2553;1,77
70613;2539;1,41
70614;2582;2,50
70615;2538;1,39
70616;2559;1,92
70617;2559;1,92
70618;2533;1,26
70619;2559;1,92
70620;2537;1,36
70621;2559;1,92
70622;2558;1,89
70623;2533;1,26
70624;2538;1,39
70625;2559;1,92
70626;2557;1,87
70627;2534;1,29
