Tempo_ms;ADC_Bruto;Forca_kg
150940;2583;2,53
150941;2559;1,92
150942;2591;2,73
150943;2559;1,92
150944;2608;3,16
150945;2559;1,92
150946;2625;3,59
150947;2586;2,60
150948;2595;2,83
150949;2594;2,80
150950;2590;2,70
150951;2559;1,92
150952;2593;2,78
150953;2559;1,92
150954;2589;2,68
150955;2559;1,92
150956;2597;2,88
150957;2595;2,83
150958;2608;3,16
150959;2559;1,92
150960;2559;1,92
150961;2559;1,92
150962;2615;3,34
150963;2587;2,63
150964;2607;3,13
150965;2559;1,92
150966;2610;3,21
150967;2597;2,88
150968;2590;2,70
150969;2559;1,92
150970;2602;3,01
150971;2559;1,92
150972;2586;2,60
150973;2559;1,92
150974;2618;3,41
150975;2593;2,78
150976;2581;2,47
150977;2559;1,92
150978;2605;3,08
150979;2559;1,92
150980;2624;3,56
150981;2583;2,53
150982;2595;2,83
150983;2559;1,92
150984;2590;2,70
150985;2559;1,92
150986;2587;2,63
150987;2559;1,92
150988;2590;2,70
150989;2559;1,92
150990;2606;3,11
150991;2594;2,80
150992;2559;1,92
150993;2595;2,83
150994;2559;1,92
150995;2559;1,92
150996;2602;3,01
150997;2601;2,98
150998;2585;2,58
150999;2622;3,51
151000;2599;2,93
151001;2592;2,75
151002;2594;2,80
151003;2583;2,53
151004;2582;2,50
151005;2623;3,54
151006;2598;2,90
151007;2591;2,73
151008;2614;3,31
151009;2559;1,92
151010;2589;2,68
151011;2559;1,92
151012;2559;1,92
151013;2587;2,63
151014;2559;1,92
151015;2594;2,80
151016;2602;3,01
151017;2602;3,01
151018;2593;2,78
151019;2608;3,16
151020;2559;1,92
151021;2559;1,92
151022;2587;2,63
151023;2559;1,92
151024;2597;2,88
151025;2599;2,93
151026;2605;3,08
151027;2559;1,92
151028;2559;1,92
151029;2608;3,16
151030;2605;3,08
151031;2559;1,92
151032;2559;1,92
151033;2559;1,92
151034;2559;1,92
151035;2559;1,92
151036;2559;1,92
151037;2583;2,53
151038;2559;1,92
151039;2559;1,92
151040;2586;2,60
151041;2559;1,92
151042;2559;1,92
151043;2605;3,08
151044;2559;1,92
151045;2559;1,92
151046;2559;1,92
151047;2559;1,92
151048;2559;1,92
151049;2559;1,92
151050;2609;3,18
151051;2599;2,93
151052;2559;1,92
151053;2559;1,92
151054;2559;1,92
151055;2559;1,92
151056;2559;1,92
151057;2559;1,92
151058;2559;1,92
151059;2559;1,92
151060;2593;2,78
151061;2581;2,47
151062;2559;1,92
151063;2559;1,92
151064;2581;2,47
151065;2559;1,92
151066;2559;1,92
151067;2608;3,16
151068;2596;2,85
151069;2559;1,92
151070;2559;1,92
151071;2559;1,92
151072;2559;1,92
151073;2597;2,88
151074;2559;1,92
151075;2559;1,92
151076;2559;1,92
151077;2602;3,01
151078;2605;3,08
151079;2559;1,92
151080;2559;1,92
151081;2589;2,68
151082;2597;2,88
151083;2608;3,16
151084;2559;1,92
151085;2597;2,88
151086;2559;1,92
151087;2591;2,73
151088;2559;1,92
151089;2585;2,58
151090;2559;1,92
151091;2607;3,13
151092;2559;1,92
151093;2591;2,73
151094;2597;2,88
151095;2585;2,58
151096;2589;2,68
151097;2581;2,47
151098;2583;2,53
151099;2601;2,98
151100;2559;1,92
151101;2589;2,68
151102;2559;1,92
151103;2598;2,90
151104;2590;2,70
151105;2559;1,92
151106;2587;2,63
151107;2559;1,92
151108;2601;2,98
151109;2559;1,92
151110;2588;2,65
151111;2559;1,92
151112;2587;2,63
151113;2559;1,92
151114;2559;1,92
151115;2559;1,92
151116;2586;2,60
151117;2583;2,53
151118;2559;1,92
151119;2559;1,92
151120;2559;1,92
151121;2601;2,98
151122;2596;2,85
151123;2586;2,60
151124;2559;1,92
151125;2590;2,70
151126;2592;2,75
151127;2588;2,65
151128;2590;2,70
151129;2559;1,92
151130;2592;2,75
151131;2586;2,60
151132;2583;2,53
151133;2585;2,58
151134;2598;2,90
151135;2587;2,63
151136;2559;1,92
151137;2598;2,90
151138;2559;1,92
151139;2586;2,60
151140;2559;1,92
151141;2595;2,83
151142;2595;2,83
151143;2559;1,92
151144;2590;2,70
151145;2591;2,73
151146;2594;2,80
151147;2589;2,68
151148;2559;1,92
151149;2602;3,01
151150;2559;1,92
151151;2559;1,92
151152;2590;2,70
151153;2559;1,92
151154;2559;1,92
151155;2589;2,68
151156;2597;2,88
151157;2589;2,68
151158;2598;2,90
151159;2585;2,58
151160;2592;2,75
151161;2559;1,92
151162;2590;2,70
151163;2591;2,73
151164;2559;1,92
151165;2581;2,47
151166;2608;3,16
151167;2559;1,92
151168;2608;3,16
151169;2559;1,92
151170;2559;1,92
151171;2586;2,60
151172;2559;1,92
151173;2608;3,16
151174;2559;1,92
151175;2613;3,28
151176;2559;1,92
